Nom du projet	Objectifs du projet	Statut du projet	Date signature de la convention	Référence de la convention	Periode d'Engagement	Date de début	Date de clôture	Pilier	Composante	Secteur principal	Liens vers d'autres secteurs	Bailleurs	Partenaires d'exécution	Ministère de tutelle	Utilisation d'un Fonds fiduciaire multidonateurs	"Si autre, veuillez spécifier"	Nature du financement	Devise utilisée pour le reporting 	Taux de change	Montant du projet en devise	Montant du projet XAF	Montant du projet USD	Décaissements 2017 en devise	Décaissements 2017 XAF	Décaissements 2017 USD	Date(s) Fin de Periode de décaissement en 2017	Prévision de décaissements 2017 en devise	Prévision de décaissements 2017 XAF	Prévision de décaissements 2017 USD	Prévision de décaissements 2018 en devise	Prévision de décaissements 2018 XAF	Prévision de décaissements 2018 USD	Prévision de décaissements 2019 en devise	Prévision de décaissements 2019 XAF	Prévision de décaissements 2019 USD	Prévision de décaissements 2017-2019 USD	Liens vers site internet ou documents du projet	Personne de contact	Email et/ou téléphone de la persone de contact	Atténuer les déséquilibres régionaux	Promouvoir l'égalité des genres	Renforcer la transparence et la redevabilité	Accroître les capacités nationales	Promouvoir l'inclusion des jeunes	Environnement et exploitation durable des ressources	Bangui	Ombella-M'Poko	Lobaye	Nana-Mambéré	Mambéré-Kadéï	Sangha-Mbaéré	Ouham	Ouham-Pendé	Ouaka	Kemo	Nana-Grébizi	Bamingui-Bangoran	Vakaga	Haute-Kotto	Basse-Kotto	Mbomou	Haut-Mbomou	Non attribué	SOUS-LOCALISATION (sous-préfectures)	SOUS-LOCALISATION (communes)	OBSERVATION	Montant total restant à décaisser USD
"Projet de Gouvernance des Ressources Naturelles en RCA
Natural Resources Governance Project in CAR
(P161973)"		En préparation			APRES BRUXELLES			Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	Forêts	Environnement	BANQUE MONDIALE		"Ministère de l'environnement; Ministère de l'énergie, mines, hydraulique"				USD	575	5000000	2875000000	5000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://projects.worldbank.org/P161973?lang=en	"Laurent Valiergue, Rachel Bernice Perks"	"lvaliergue@worldbank.org
rperks@worldbank.org"	Pas ciblé	Pas ciblé	Significatif	Significatif	Pas ciblé	Principal	5000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			Assistance technique	5000000
"PURACEL - Projet d'Urgence d'Accès à l'Electricité
Emergency Electricity Access Project
(P164885)"	Le PURACEL (projet Solar) a pour objectif d'augmenter la capacité de production à Bangui en utilisant des panneaux solaires.	En préparation		IDA V1260	APRES BRUXELLES			Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Electricité		BANQUE MONDIALE		"Ministère de l'Energie, Mines, Hydraulique"	Pas financé par un fonds fiduciaire multi-donateurs			USD	575	45000000	25875000000	45000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0										45000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				45000000
Projet Agriculture		En préparation			APRES BRUXELLES	18-Jul		Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	"Agriculture, élevage, pêche"		BANQUE MONDIALE			Pas financé par un fonds fiduciaire multi-donateurs		 Don 	USD	575	25000000	14375000000	25000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				25000000
Projet Télécommunications		En préparation			APRES BRUXELLES	19-Feb		Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	TIC		BANQUE MONDIALE			Pas financé par un fonds fiduciaire multi-donateurs		 Don 	USD	575	13000000	7475000000	13000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				13000000
"Développement rural dans les pôles de développement de Sibut, BAMBARI et zones périphériques de Bangui"	"Le désenclavement des zones de production et ce, par a remise en état de fonctionnement normal des pistes et des ouvrages d'art. L'appui aux infrastructures de base de production, de transformation et d'accès aux marchés et faciliter l'accès des filles et des garcons en âge de scolarisation à l'enseignement. L'adduction d'eau potable"	Actif	15-Nov-12		AVANT BRUXELLES	12-Nov	17-Jun	Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	"Agriculture, élevage, pêche"	Infrastructure	BADEA	AGETIP-CAF	Ministère de l'agriculture et développement rural			 Prêt 	USD	575	10000000	5750000000	10000000	0	0	0	0	284678	163689850	284678	1217391	700000000	1217391	0	0	0	1502069		GONIDE François	75506743/ 72 22 83 97	Significatif	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1			TDR pour la consultation du bureau d'études en cours d'approbation	8497931
Etude de faisabilité technico économique de mise en valeur de la vallée de l'Ouham	L'etude consiste à identifier les potentialités de développement agricole de toute la one du projet et élaborer un programme prioritaire de développement de la production agricole dans la vallée de l'ouham	Actif	27-Dec-10		AVANT BRUXELLES	16-Apr		Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	"Agriculture, élevage, pêche"		BADEA	COMETE international	Ministère de l'agriculture et développement rural			 Don 	USD	575	485000	278875000	485000	96846	55686539	96846	0	145269	83529807	145269	17391	10000000	17391	0	0	0	162661				Significatif	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	Significatif	0	0	0	0	0	0	485000	0	0	0	0	0	0	0	0	0	0	0			Etude de la 1ère phase réalisée; approbation de la phase 1 en cours (2ème phase aura lieu en 2018)	322339
Etude de faisabilité du projet d'assainissement des eaux pluviales de la ville de Bangui	"L'assistance technique a pour objectifs la réalisation de l'étude de faisabilité technico-économique du projet d'assainissement des eaux pluviales des arrondissements 2 et 6 de la ville de Bangui, et ce dans le but de contribuer à l'amélioration de l'environnement dans la ville, d'aténuer les inondations durant la période des pluies, d'améliorer le conditions de vie et sanitaire des populations et de contribuer à la lutte contre la pauvreté"	Actif	23-Oct-11		AVANT BRUXELLES			Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport	Eau et assainissement	BADEA		Ministère de l'urbanisme			 Don 	USD	575	300000	172500000	300000	0	0	0	0	0	0	0	173913	100000000	173913	0	0	0	173913		YADAKPA Cyrille	"75 89 17 08 / 77 10 17 08, cyadakpa@gmail.com"	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	Significatif	300000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			"Pas de résultat, projet n'a pas commencé (en attente réaction ministère urbanisme)"	126087
Renforcement de la production d'électricité de la ville de Bangui		Actif			AVANT BRUXELLES	15-Dec	19-Dec	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Electricité		FONDS SAOUDIENS					 Prêt 	USD	575	12000000	6900000000	12000000	0	0	0	0	0	0	0	2608696	1500000000	2608696	3478261	2000000000	3478261	6086957		MBAZOA Thierry	"72 44 30 61, mbazoayth@yahoo.fr"	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	12000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			TDR de consultation des entreprises en cours d'approbation (entreprise va effecuter études et travaux)	5913043
Eclairage des rues de la capitale		Actif			AVANT BRUXELLES	15-Dec	19-Dec	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Electricité		FONDS SAOUDIENS					 Prêt 	USD	575	3000000	1725000000	3000000	0	0	0	0	0	0	0	869565	500000000	869565	1730424	994994000	1730424	2599990		MBAZOA Thierry	"72 44 30 61, mbazoayth@yahoo.fr"	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	3000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			TDR de consultation des entreprises en cours d'approbation (entreprise va effecuter études et travaux)	400010
Réhabilitation du tarmac de l'aéroport de Bangui		Actif			APRES BRUXELLES	17-Feb	19-Dec	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport		FONDS SAOUDIENS	Groupement BSM/EGIS et entreprise DEC				 Prêt 	USD	575	15267000	8778525000	15267000	6115864	3608359884	6115864	0	320298	184171633	320298	0	0	0	0	0	0	320298		MBAZOA Thierry	"72 44 30 61, mbazoayth@yahoo.fr"	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	15267000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			"Travaux en cours (30% des travaux effectué, sur 2600 mètres de tarmac)"	14946702
Réhabilitation de la route de l'aéroport de Bangui		Actif			APRES BRUXELLES	17-Apr	19-Dec	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport		FONDS SAOUDIENS					 Prêt 	USD	575	12000000	6900000000	12000000	129138	76191353	129138	0	3407826	1959499842	3407826	2000000	1150000000	2000000	3478261	2000000000	3478261	8886087		MBAZOA Thierry	"72 44 30 61, mbazoayth@yahoo.fr"	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	12000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			"Travaux en cours (10% des travaux effectué, sur 9,8 kilomètres; couche de roulement, couche de base, drainage)"	3113913
Service du consultant projet		Actif			AVANT BRUXELLES	17-Jan	19-Dec	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport		FONDS SAOUDIENS					 Prêt 	USD	575	5000000	2875000000	5000000	0	0	0	0	270581	155584075	270581	695652	400000000	695652	869565	500000000	869565	1835798		MBAZOA Thierry	"72 44 30 61, mbazoayth@yahoo.fr"	Pas ciblé	Pas ciblé	Pas ciblé	Significatif	Pas ciblé	Pas ciblé	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1			"2 études réalisées; contrôle des travaux en cours; pour projets ""réhabilitation du tarmac"" et ""réhabiliation de la route de l'aéroport de Bangui"""	3164202
Etudes et réalisation des travaux de réhabilitation de la seconde voie menant à l'aéroport Bangui-M'Poko		En préparation			APRES BRUXELLES	18-Jan	20-Dec	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport		BADEA	Ministère des routes et des infrastructures	Ministère des routes et des infrastructures			 Prêt 	USD	575	13000000	7475000000	13000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	Pas ciblé	13000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				13000000
Projet de Connectivité Rurale - Route Ndélé-Birao	"Réouverture route nationale 8, praticable en toute saison. Objectifs de relance agricole et de rédéploiement des services de l'Etat"	En préparation			APRES BRUXELLES	17-Oct	19-Oct	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport	Agriculture/développement local	AFD	"UNOPS, entreprises privées"	Ministère Travaux Publics et de l'Entretien Routier	Pas financé par un fonds fiduciaire multi-donateurs	Co-financement avec la BM (48.5 mios USD)	 Don 	EUR	656	7500000	4919677500	8556000	0	0	0	0	0	0	0	5000000	3279785000	5704000	2500000	1639892500	2852000	8556000		Hugo Halimi	halimih@afd.fr	Principal	Pas ciblé	Significatif	Significatif	Significatif	Pas ciblé	0	0	0	0	0	0	0	0	0	0	0	4278000	4278000	0	0	0	0	0			Le projet est co-financé par la BM à hauteur de 45 M $ (déjà octroyés) soit un total d'environ 53 M $ dont 27 M $ pour la partie Nord-Est. Les travaux d'urgence en HIMO doivent démarrer fin 2017. Les travaux plus structurants avec engins mécanisés démarreront T3 2018. 	 -   
Collecteur aviation	Réhabilitation collecteur aviation	En préparation			APRES BRUXELLES	17-Jun	18-Apr	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport	Environnement local	AFD	"AGETIP, entreprises locales"	Ministère urbanisme	Pas financé par un fonds fiduciaire multi-donateurs		 Don 	EUR	656	2500000	1639892500	2852000	0	0	0	0	0	0	0	1000000	655957000	1140800	1500000	983935500	1711200	2852000		Hugo Halimi	halimih@afd.fr	Pas ciblé	Significatif	Significatif	Significatif	Principal	Significatif	2852000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			Projet en voie instruction pour la réhbilitation d'un axe de drainage fragile à Bangui. Un curage d'urgence dudit collecteur a déjà été réalisé dans l'attente d'interventions plus structurantes.  	 -   
Soutien à l'Alimentation et au Maraichage Périurbain à Berberati et Bambari (SAMBBA)	Améliorer la sécurité alimentaire et favoriser le développement agricole	Actif	7/27/17	CCF 1177 	APRES BRUXELLES	17-Jun	20-Jun	Assurer le relèvement économique et la relance des secteurs productifs	Relancer et développer les secteurs productifs	"Agriculture, élevage, pêche"	Résilience et sécurité alimentaire	AFD	ONG Croix Rouge française et Triangle humanitaire	Ministère agriculture	Pas financé par un fonds fiduciaire multi-donateurs		 Don 	EUR	656	3400000	2230253800	3878720	1500000	983935500	1711200	0	1500000	983935500	1711200	1900000	1246318300	2167520	0	0	0	3878720		Pascal Brouillet	brouilletp@afd.fr	Significatif	Significatif	Significatif	Principal	Significatif	Pas ciblé	0	0	0	0	1939360	0	0	0	1939360	0	0	0	0	0	0	0	0	0			"Décaissement déjà réalisé pour activités CRF à Berberati. Décaissement TGH à Bambari prévu fin 2017.
1000 bénéficiaires soutenus à Berberati et 1000 à Bambari"	 -   
Aéroport MPOKO	Complément au financement cloture MPOKO	Financement Octroyé	Signature attendue pour fin 2017	CCF 1171	APRES BRUXELLES	17-Jun	19-Jun	Assurer le relèvement économique et la relance des secteurs productifs	Réhabiliter et construire les infrastructures	Routes et transport	"Développement capacités, développement économique, résilience population "	AFD	"Entreprises, ASECNA, AGETIP, ONG"	Ministère transport			 Don 	EUR	656	3500000	2295849500	3992800	0	0	0	0	700000	459169900	798560	1500000	983935500	1711200	1300000	852744100	1483040	3992800		Pascal Brouillet	brouilletp@afd.fr	Pas ciblé	Significatif	Significatif	Principal	Significatif	Pas ciblé	3992800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			Signature de la convention en attente. Financements mobilisé sur l'autre concours CCF 1129 du Projet Aéroport. 	 -   
